326,Pipeline transportation
327,Scenic and sightseeing transportation and support activities for transportation
328,Postal service
329,Couriers and messengers
33,Water, sewage and other systems
330,Warehousing and storage
331,Retail trade
332,Newspaper publishers
333,Periodical publishers
334,Book publishers
335,Directory, mailing list, and other publishers
336,Software publishers
337,Motion picture and video industries
338,Sound recording industries
339,Radio and television broadcasting
34,Nonresidential commercial and health care structures
340,Cable and other subscription programming
341,Internet publishing and broadcasting
342,Telecommunications
343,Internet service providers and web search portals
344,Data processing, hosting, and related services
345,Other information services
346,Nondepository credit intermediation and related activities
347,Securities, commodity contracts, investments
348,Insurance carriers
349,Insurance agencies, brokerages, and related
35,Nonresidential manufacturing structures
350,Funds, trusts, and other financial vehicles
351,Monetary authorities and depository credit intermediation
352,Real estate
353,Automotive equipment rental and leasing
354,Video tape and disc rental
355,Commercial and industrial machinery and equipment rental and leasing
356,General and consumer goods rental except video tapes and discs
357,Lessors of nonfinancial intangible assets
358,Legal services
359,Accounting and bookkeeping services
36,Other nonresidential structures
360,Architectural and engineering services
361,Specialized design services
362,Custom computer programming services
363,Computer systems design services
364,Other computer related services, including facilities management
365,Management consulting services
366,Environmental and other technical consulting services
367,Scientific research and development services
368,Advertising and related services
369,Photographic services
37,Residential permanent site single- and multi-family structures
370,Veterinary services
371,All other miscellaneous professional and technical services
372,Management of companies and enterprises
373,Office administrative services
374,Facilities support services
375,Employment services
376,Business support services
377,Travel arrangement and reservation services
378,Investigation and security services
379,Services to buildings and dwellings
38,Other residential structures
380,Other support services
381,Waste management and remediation services
382,Elementary and secondary schools
383,Colleges, universities, and junior colleges
384,Other educational services
385,Home health care services
386,Offices of physicians, dentists, and other health practitioners
387,Healthcare and social assistance
388,Hospitals
389,Nursing and residential care facilities
39,Nonresidential maintenance and repair
390,Community food, housing, and other relief services, incl rehabilitation services
391,Child day care services
392,Individual and family services
393,Performing arts companies
394,Spectator sports
395,Independent artists, writers, and performers
396,Promoters of performing arts and sports and agents for public figures
397,Museums, historical sites, zoos, and parks
398,Fitness and recreational sports centers
399,Bowling centers
4,Tree nut farming
40,Residential maintenance and repair
400,Amusement parks and arcades
401,Other amusement, gambling, and recreation industries
402,Hotels and motels, including casino hotels
403,Other accommodations
404,Food services and drinking places
405,Car washes
406,Automotive repair and maintenance, except car washes
407,Electronic equipment repair and maintenance
408,Commercial machinery repair and maintenance
409,Household goods repair and maintenance
41,Dog and cat food manufacturing
410,Personal care services
411,Death care services
412,Drycleaning and laundry services
413,Other personal services
414,Religious organizations
415,Grantmaking, giving and social advocacy organizations
416,Civic, social, professional and similar organizations
42,Other animal food manufacturing
43,Flour milling and malt manufacturing
44,Wet corn milling
45,Fats and oils refining and blending
46,Soybean and other oilseed processing
47,Breakfast cereal manufacturing
48,Beet sugar manufacturing
49,Sugar cane mills and refining
5,Fruit farming
50,Confectionery manufacturing from cacao beans
51,Confectionery manufacturing from purchased chocolate
52,Nonchocolate confectionery manufacturing
53,Frozen food manufacturing
54,Fruit and vegetable canning, pickling and drying
55,Cheese manufacturing
56,Dry, condensed, and evaporated dairy products
57,Fluid milk and butter manufacturing
58,Ice cream and frozen dessert manufacturing
59,Poultry processing
6,Greenhouse and nursery production
60,Animal (except poultry) slaughtering and processing
61,Seafood product preparation and packaging
62,Bread and bakery product manufacturing
63,Cookie, cracker and pasta manufacturing
64,Tortilla manufacturing
65,Snack food manufacturing
66,Coffee and tea manufacturing
67,Flavoring syrup and concentrate manufacturing
68,Seasoning and dressing manufacturing
69,All other food manufacturing
7,Tobacco farming
70,Soft drink and ice manufacturing
71,Breweries
72,Wineries
73,Distilleries
74,Tobacco product manufacturing
